Customer_ID_number,OrderDate,Items,ItemCategory,Gender,Geographic location,Purchase History,ProductPrice,OrderQuantity,OrderNumber,PaymentMethod,Age
1808,3/4/2025,Indomie Instant Noodles,Food,F,Ikeja,4/30/2023,250,7,SO45182,Cash Payment,41
2552,1/1/2025,Golden Morn,Food,M,Iyana ipaja,5/4/2022,950,8,SO47279,Debit card,47
2300,3/2/2025,Spaghetti,Food,M,Mafoluku,4/12/2024,450,5,SO60502,Debit card,46
1187,3/30/2025,Maggi Cubes,Food Seasoning,M,Ikeja,2/12/2025,700,8,SO64491,Bank transfer,75
3037,2/20/2025,Golden Morn,Food,F,Festac town,6/18/2023,950,2,SO87417,Bank transfer,69
4941,2/20/2025,Semovita,Food,M,Agege,3/14/2022,3400,2,SO89840,Debit card,18
4501,5/13/2025,Maggi Cubes,Food Seasoning,F,Iyana ipaja,10/15/2023,700,5,SO76931,Debit card,63
3803,3/26/2025,Rice,Food,F,Ogba,12/3/2023,25000,7,SO63284,Bank transfer,53
2762,1/9/2025,Golden Morn,Food,M,Iyana ipaja,7/30/2022,950,4,SO54723,Cash Payment,65
4119,3/1/2025,Indomie Instant Noodles,Food,F,Fadeyi,2/6/2025,250,5,SO98982,Bank transfer,26
1340,4/12/2025,Beans,Food,M,Fadeyi,4/14/2024,12000,2,SO21218,Debit card,45
2193,5/5/2025,Plantain Chips,Snack,M,Sangotedo,2/26/2024,1500,10,SO38102,Bank transfer,28
1997,5/12/2025,Gala Sausage Roll,Snack,F,Mushin,2/14/2024,500,3,SO28867,Bank transfer,26
4546,3/28/2025,Bobo Yogurt,Beverage,M,Fadeyi,5/8/2022,1000,2,SO37148,Cash Payment,51
4736,4/18/2025,La Casera Apple Drink,Beverage,M,Ikotun,6/6/2022,350,7,SO88927,Debit card,52
1959,3/15/2025,Chin Chin,Snack,M,Badore,1/7/2025,1800,2,SO74583,Debit card,42
1974,1/1/2025,Sugar,Food,M,Ikorodu,3/29/2022,1000,5,SO36723,Cash Payment,18
2421,3/30/2025,Salt,Food,M,Iganmu,7/15/2024,500,7,SO72681,Bank transfer,20
1513,4/16/2025,Bread (Small Loaf),Food,F,Festac town,11/10/2023,1300,8,SO51635,Bank transfer,40
1905,4/1/2025,Maggi Cubes,Food Seasoning,M,Fagba,7/3/2024,700,2,SO98680,Cash Payment,21
2810,2/13/2025,Peak Milk,Dairy,F,Ikorodu,10/19/2022,350,2,SO30987,Debit card,56
2867,3/8/2025,Golden Morn,Food,F,Ikorodu,11/27/2022,950,3,SO57859,Cash Payment,72
3962,5/3/2025,Indomie Instant Noodles,Food,F,Fagba,3/14/2022,250,2,SO57617,Debit card,51
1088,5/20/2025,Indomie Instant Noodles,Food,F,Shomolu,4/7/2022,250,4,SO89046,Debit card,61
4976,1/16/2025,Dano Milk,Dairy,M,Agege,8/4/2024,120,6,SO37922,Cash Payment,72
4056,4/25/2025,Milo,Beverage,M,Lagos Island,5/25/2023,1200,7,SO93490,Cash Payment,60
3611,4/29/2025,Bournvita,Beverage,M,Oshodi,11/14/2023,1150,8,SO80051,Bank transfer,20
1420,1/18/2025,Maggi Cubes,Food Seasoning,M,Badore,6/12/2024,700,4,SO75058,Bank transfer,55
4286,2/15/2025,Lipton Tea,Beverage,M,Agege,4/12/2023,850,5,SO41261,Cash Payment,48
4918,2/17/2025,Milo,Beverage,M,Lakowe,1/9/2024,1200,4,SO52359,Debit card,52
4783,3/11/2025,Nescafe Coffee,Beverage,F,Fagba,1/29/2024,700,8,SO80381,Debit card,36
3709,5/15/2025,Coca-Cola,Beverage,F,Oshodi,9/5/2023,500,10,SO22869,Debit card,28
4289,5/26/2025,Eva Water,Beverage,M,Ogba,7/11/2024,400,1,SO76640,Bank transfer,30
